short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
2.0,15.0,3.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-0.0015020999522654677,,,,,,,,,-8.24204481821037,27.50616690935798
2.0,15.0,4.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.734195590697903,,,,,,,,,-3.061952173313646,25.664960711729936
2.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.547120329614835,,,,,,,,,0.7110292020951476,44.32518321704107
2.0,15.0,6.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,7.878800361888653,,,,,,,,,-5.166151075054319,29.409277866033015
2.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,9.488139031894677,,,,,,,,,-2.2608021061594066,27.950870454388507
3.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.399063449097236,,,,,,,,,-2.633045207215904,24.623208319549637
4.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.346548286850915,,,,,,,,,-1.8284971705427964,24.443994635880212
5.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,9.14434075779376,,,,,,,,,-0.6133328052053244,26.284828477898618
6.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.87669151053462,,,,,,,,,-0.9474439318477792,26.214006438654962
2.0,20.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,9.230827558112637,,,,,,,,,-1.3278314096901802,21.897348951068803
2.0,25.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,6.100476743656946,,,,,,,,,-3.7316111229463864,19.930479604981564
2.0,30.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,3.6605914565161735,,,,,,,,,-6.749954856147408,19.831649285864053
2.0,15.0,7.0,100.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,10.09510176886194,,,,,,,,,-0.17438924435275993,28.156903868481848
2.0,15.0,7.0,150.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.438468052682362,,,,,,,,,-2.0505993081583362,31.32463024019465
2.0,15.0,7.0,200.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,5.13622476886156,,,,,,,,,-8.32384012269336,28.06348510903419
2.0,15.0,7.0,100.0,250.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,11.192011899577821,,,,,,,,,3.8519368485985446,30.367436073887657
2.0,15.0,7.0,100.0,1000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.610044053106028,,,,,,,,,-5.212972611753756,20.47943118579299
2.0,15.0,7.0,100.0,2000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,3.7741298884778622,,,,,,,,,-13.8610856853925,12.558783128593454
2.0,15.0,7.0,100.0,4000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,2.79865566608388,,,,,,,,,-18.57558850401833,11.867666643533198
2.0,15.0,7.0,100.0,250.0,7.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.452929278762358,,,,,,,,,2.3674732133297915,23.38303865427298
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.025,,11.852588644241049,,,,,,,,,5.025327080610989,28.50076540918434
2.0,15.0,7.0,100.0,250.0,15.0,0.5,0.25,0.2,0.02,2.0,0.025,,11.439454393546493,,,,,,,,,3.9711420677133447,31.977600105523646
2.0,15.0,7.0,100.0,250.0,10.0,1.0,0.25,0.2,0.02,2.0,0.025,,11.852588644241049,,,,,,,,,5.025327080610989,28.50076540918434
2.0,15.0,7.0,100.0,250.0,10.0,1.5,0.25,0.2,0.02,2.0,0.025,,11.756641781628261,,,,,,,,,5.263319364159825,27.910341156156996
2.0,15.0,7.0,100.0,250.0,10.0,2.0,0.25,0.2,0.02,2.0,0.025,,11.842586096075157,,,,,,,,,5.715587566110425,26.8872556201214
2.0,15.0,7.0,100.0,250.0,10.0,2.5,0.25,0.2,0.02,2.0,0.025,,10.95491651229956,,,,,,,,,5.582079342030136,26.431565481268635
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.005,,9.80356715986865,,,,,,,,,8.496049888312164,11.848499528937571
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.01,,18.263540486558632,,,,,,,,,17.246182883675345,15.05049152995894
