n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_1'],0.04125979767499215,0.579273,0.525263,0.490811,,,,0.579155,0.521952,0.478662,0.579348,0.522981,0.492299,0.579273,0.525263,0.490811,0.04,19260817.0,-1.0,0.579261,0.521601,0.492959
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7']",0.07579276486699676,0.592121,0.53,0.481622,,,,0.592054,0.524713,0.471707,0.592171,0.527277,0.48224,0.592121,0.53,0.481622,0.04,19260817.0,-1.0,0.592112,0.525414,0.483548
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2']",0.110220558869313,0.648848,0.513158,0.494595,,,,0.648193,0.512684,0.492762,0.649925,0.512482,0.495469,0.648848,0.513158,0.494595,0.06,19260817.0,-1.0,0.648817,0.511544,0.495445
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3']",0.14370840718261302,0.679273,0.517368,0.486486,,,,0.679075,0.511362,0.477056,0.679692,0.513979,0.487521,0.679273,0.517368,0.486486,0.07,19260817.0,-1.0,0.679255,0.512531,0.488376
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3', 'log_ret_lag_6']",0.17612603992982512,0.706545,0.523158,0.496757,,,,0.706509,0.516928,0.48774,0.706637,0.519944,0.498614,0.706545,0.523158,0.496757,0.06,19260817.0,-1.0,0.706537,0.518217,0.498625
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3', 'log_ret_lag_6', 'closePriceNorm_lag_4']",0.20845158766271385,0.710303,0.521053,0.498378,,,,0.710095,0.515831,0.49388,0.710881,0.518033,0.499795,0.710303,0.521053,0.498378,0.06,19260817.0,-1.0,0.710284,0.516518,0.499708
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3', 'log_ret_lag_6', 'closePriceNorm_lag_4', 'ret_lag_9']",0.2405960639329698,0.731394,0.515789,0.505405,,,,0.731392,0.505898,0.492822,0.731399,0.511289,0.508604,0.731394,0.515789,0.505405,0.1,19260817.0,-1.0,0.731392,0.509652,0.507625
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3', 'log_ret_lag_6', 'closePriceNorm_lag_4', 'ret_lag_9', 'ret_lag_7']",0.2723573636012124,0.734545,0.520526,0.495135,,,,0.734431,0.510655,0.481276,0.734927,0.516367,0.497214,0.734545,0.520526,0.495135,0.06,19260817.0,-1.0,0.734531,0.514375,0.497436
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3', 'log_ret_lag_6', 'closePriceNorm_lag_4', 'ret_lag_9', 'ret_lag_7', 'log_ret_lag_3']",0.30402911748771716,0.743152,0.520526,0.492432,,,,0.743102,0.513326,0.479153,0.743323,0.516953,0.494146,0.743152,0.520526,0.492432,0.07,19260817.0,-1.0,0.743142,0.515239,0.49468
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_3', 'log_ret_lag_6', 'closePriceNorm_lag_4', 'ret_lag_9', 'ret_lag_7', 'log_ret_lag_3', 'closePriceNorm_lag_6']",0.3356327003086593,0.748727,0.527895,0.510811,,,,0.748633,0.520932,0.49636,0.749081,0.524738,0.515085,0.748727,0.527895,0.510811,0.07,19260817.0,-1.0,0.748713,0.522667,0.513199
