n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['log_ret_lag_8'],0.04264227510559407,0.022725,-0.012916,-0.007006,0.006024,0.00632,0.006336,100301100621.92961,98506779316.31941,97121642739.58647,0.43,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7']",0.08492751154364937,0.034833,-0.010652,-0.011108,0.005987,0.006313,0.006349,99777679734.66566,110112412692.25793,99532175485.76297,0.45,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9']",0.12720946795503138,0.111109,-0.010259,-0.019751,0.005745,0.006312,0.006376,89630407965.50296,87167125620.86806,71863853194.14735,0.48,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3']",0.16889409564711555,0.169613,-0.002202,-0.026733,0.005553,0.006286,0.006397,91505864483.84367,101695877307.67201,81734755644.2987,0.45,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3']",0.20927841310414108,0.179037,-0.014853,-0.025019,0.005522,0.006326,0.006392,92296171012.33888,109462709264.34564,78390306355.75533,0.52,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1']",0.2494136065460209,0.181592,-0.002417,-0.033288,0.005513,0.006287,0.006418,97509759686.80533,120023668332.32014,79751392856.22456,0.47,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9']",0.28940296947469846,0.194056,-0.005954,-0.038401,0.005471,0.006298,0.006434,84277355634.6478,95132681809.51775,79824768664.1394,0.48,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1']",0.3293635851603905,0.196949,0.000789,-0.027545,0.005461,0.006277,0.0064,88926295076.81744,110904600229.18115,85633428885.90486,0.7,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8']",0.3692952240125381,0.197882,-0.003884,-0.036983,0.005458,0.006292,0.006429,89924135529.94807,96425615128.86026,86988402655.86642,0.5,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7']",0.40768539415426663,0.201003,-0.00834,-0.041596,0.005447,0.006306,0.006444,89259160466.5722,98783165107.8969,85559077671.90402,0.51,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6']",0.44377963830125167,0.221103,-0.006213,-0.057234,0.005378,0.006299,0.006492,89210690208.9387,106301939177.16833,89724331707.28992,0.46,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2']",0.479105666182811,0.22557,-0.016888,-0.041641,0.005363,0.006332,0.006444,89088749867.53809,104126691199.55013,96908401428.64848,0.52,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2']",0.5137501593025932,0.227722,-0.010359,-0.037209,0.005355,0.006312,0.00643,86880401701.84476,110178245266.31592,87768103567.29108,0.46,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5']",0.5480309264649257,0.243631,0.008581,-0.032744,0.0053,0.006253,0.006416,85829127346.56548,98761938683.50745,89199201048.53781,0.45,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6']",0.580303289363565,0.241741,-0.005838,-0.032535,0.005306,0.006298,0.006415,83074738068.38147,92342746052.39796,87799506715.61496,0.5,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5']",0.6122953948151832,0.245639,-0.000924,-0.034676,0.005293,0.006282,0.006422,83994714630.60124,103514719957.4948,88561105052.32417,0.55,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4']",0.6439889257178975,0.252148,-0.008299,-0.020947,0.00527,0.006306,0.006379,84469896745.12546,97752371318.34105,86820701232.4328,0.61,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4']",0.6750970450654407,0.255972,-0.012762,-0.03832,0.005256,0.006319,0.006433,87238034892.19728,81591736014.63766,80992928736.02788,0.53,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3']",0.7044843511902296,0.273119,-0.007279,-0.056531,0.005196,0.006302,0.00649,94017795774.51749,97648133352.71098,154543261326.20114,1.05,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7']",0.7337172656243148,0.274599,0.005399,-0.049747,0.00519,0.006263,0.006469,91090804933.6604,84803681128.41414,154544978976.67514,0.64,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8']",0.7623393764161318,0.276329,0.003249,-0.062273,0.005184,0.006269,0.006507,92599124680.55008,92306800455.7876,167181004671.41293,0.54,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_10']",0.789752614127528,0.275759,-0.002371,-0.063538,0.005186,0.006287,0.006511,95879233778.14064,98820114454.62956,180006779758.76407,0.58,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_10', 'closePriceNorm_lag_1']",0.815822662686435,0.279427,0.000774,-0.051853,0.005173,0.006277,0.006475,94994907035.48682,97365547360.84749,211642617343.24515,0.61,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_9']",0.83950855586786,0.278893,0.001822,-0.054466,0.005175,0.006274,0.006483,93556829555.8221,96965543073.93373,176950595829.1497,0.47,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2']",0.860580204868885,0.280304,0.010307,-0.069193,0.00517,0.006247,0.006528,99297346465.50273,110766077533.9279,180570125444.73276,0.66,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4']",0.8814243985482262,0.282331,-0.000831,-0.063677,0.005162,0.006282,0.006512,93160006416.68947,97257279764.16615,159782365237.4943,0.67,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_8', 'log_ret_lag_7', 'ret_lag_9', 'log_ret_lag_3', 'ret_lag_3', 'log_ret_lag_1', 'log_ret_lag_9', 'ret_lag_1', 'ret_lag_8', 'ret_lag_7', 'log_ret_lag_6', 'log_ret_lag_2', 'ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'log_ret_lag_5', 'ret_lag_4', 'log_ret_lag_4', 'closePriceNorm_lag_3', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'closePriceNorm_lag_5']",0.9008212822954303,0.282506,0.009519,-0.052987,0.005162,0.00625,0.006479,94730183672.62633,94356751516.82298,145430047655.0174,0.53,19260817.0,-1.0
