n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['pos_closePrice_lag_1'],0.05647744051388201,0.024976,-0.016871,-0.012045,0.977509,0.998265,0.995894,1.60418,1.778686,2.175148,1.44,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1']",0.08984452818554867,0.042502,-0.025238,-0.010337,0.968684,1.002364,0.995053,1.493702,1.659371,1.786806,1.76,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1']",0.12308089737388458,0.106098,-0.025385,-0.018118,0.935961,1.002436,0.998877,1.366,1.300996,1.660885,1.52,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1']",0.15436860096975014,0.156008,-0.036587,-0.044396,0.909457,1.007897,1.011686,1.582489,1.684822,3.824649,1.5,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1']",0.18372019006680682,0.180704,-0.032473,-0.050471,0.896052,1.005894,1.014624,1.536012,1.816116,3.936776,2.26,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1']",0.21050318881702035,0.192927,-0.04772,-0.062156,0.889343,1.013294,1.020251,1.615254,1.592192,3.942444,1.52,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_3']",0.23625635458088282,0.209291,-0.037346,-0.042409,0.880281,1.008266,1.010723,1.511298,1.54017,3.075162,2.06,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_3', 'log_ret_normalised_by_day_lag_2']",0.2615830001008254,0.235542,-0.032065,-0.043055,0.865546,1.005696,1.011036,1.543374,1.452571,3.319052,2.58,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_3', 'log_ret_normalised_by_day_lag_2', 'pos_log_ret_lag_1']",0.2869003154215876,0.229898,-0.046778,-0.037326,0.868735,1.012839,1.008256,1.573294,1.51104,3.211457,2.79,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_3', 'log_ret_normalised_by_day_lag_2', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_slope_3']",0.3104792286570974,0.241454,-0.016006,-0.035665,0.862192,0.99784,1.007448,1.419495,1.715074,2.627744,1.74,19260817.0,-1.0
