lstm_hidden_layer_n_neurons,lstm_n_hidden_layers,bi_lstm,n_hidden_layers,batch_size,learning_rate,dense_hidden_layer_n_neurons,activation,dropout_prob,batch_normalisation,dense_layer_type,attention_num_heads,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,verbose,random_state,loss_function,num_epochs,grad_clip,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
6.0,1.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.502249,0.502353,0.490909,,,,0.335835,0.335951,0.323282,0.252254,0.252358,0.240992,0.502249,0.502353,0.490909,238.23,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
6.0,2.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.502249,0.502353,0.490909,,,,0.335835,0.335951,0.323282,0.252254,0.252358,0.240992,0.502249,0.502353,0.490909,286.66,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
6.0,3.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.497751,0.497647,0.509091,,,,0.330838,0.330722,0.343483,0.247757,0.247653,0.259174,0.497751,0.497647,0.509091,326.83,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
6.0,1.0,0.0,2.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.502249,0.502353,0.490909,,,,0.335835,0.335951,0.323282,0.252254,0.252358,0.240992,0.502249,0.502353,0.490909,246.68,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
6.0,1.0,0.0,3.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.497751,0.497647,0.509091,,,,0.330838,0.330722,0.343483,0.247757,0.247653,0.259174,0.497751,0.497647,0.509091,249.72,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
12.0,1.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.502249,0.502353,0.490909,,,,0.335835,0.335951,0.323282,0.252254,0.252358,0.240992,0.502249,0.502353,0.490909,240.74,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
25.0,1.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.502249,0.502353,0.490909,,,,0.335835,0.335951,0.323282,0.252254,0.252358,0.240992,0.502249,0.502353,0.490909,244.0,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
50.0,1.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.497751,0.497647,0.509091,,,,0.330838,0.330722,0.343483,0.247757,0.247653,0.259174,0.497751,0.497647,0.509091,290.56,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
100.0,1.0,0.0,1.0,128.0,0.01,6.0,relu,0.1,0.0,Dense,0.0,0.497751,0.497647,0.509091,,,,0.330838,0.330722,0.343483,0.247757,0.247653,0.259174,0.497751,0.497647,0.509091,394.92,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
6.0,1.0,0.0,1.0,128.0,0.01,12.0,relu,0.1,0.0,Dense,0.0,0.497751,0.497647,0.509091,,,,0.330838,0.330722,0.343483,0.247757,0.247653,0.259174,0.497751,0.497647,0.509091,240.51,True,19260817.0,CrossEntropy,250.0,False,0.5,0.5,0.5
