lstm_hidden_layer_n_neurons,lstm_n_hidden_layers,bi_lstm,n_hidden_layers,batch_size,learning_rate,dense_hidden_layer_n_neurons,activation,num_epochs,dropout_prob,batch_normalisation,dense_layer_type,grad_clip,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,random_state,loss_function
50.0,1.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.23309,-0.198103,-0.191339,0.006767,0.006819,0.006882,853893376639.7125,891395777574.4131,859427455276.2249,49.65,True,19260817.0,MSE
50.0,2.0,False,1.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.066136,-0.077677,-0.077147,0.006292,0.006467,0.006544,393419397748.1927,410698103021.5383,395969146866.5767,68.85,True,19260817.0,MSE
50.0,3.0,False,1.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.143209,-0.117652,-0.11327,0.006516,0.006586,0.006653,677973872202.7417,707750011325.2318,682367817424.6025,93.31,True,19260817.0,MSE
50.0,2.0,False,2.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.143401,-0.117822,-0.113435,0.006516,0.006587,0.006653,678401512518.5013,708196433305.0917,682798229275.0762,74.42,True,19260817.0,MSE
50.0,2.0,False,3.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.442173,-0.388469,-0.376367,0.007318,0.007341,0.007397,1160961278214.7937,1211949886999.4312,1168485462361.623,82.25,True,19260817.0,MSE
6.0,2.0,False,1.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.065576,-0.076955,-0.076514,0.006291,0.006465,0.006542,391261371133.8535,408376607877.9296,393730908012.5216,36.68,True,19260817.0,MSE
12.0,2.0,False,1.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.064418,-0.075854,-0.075352,0.006287,0.006462,0.006538,387752358518.60565,404782171385.57495,390265379584.5291,37.13,True,19260817.0,MSE
25.0,2.0,False,1.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.065556,-0.077061,-0.07654,0.00629,0.006466,0.006542,391512115499.5397,408707054268.14185,394049503531.3584,65.95,True,19260817.0,MSE
6.0,1.0,False,1.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.236213,-0.202662,-0.196159,0.006775,0.006832,0.006896,869749261895.7362,911255654662.5048,889406678434.1571,26.82,True,19260817.0,MSE
6.0,2.0,False,1.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.059879,-0.071027,-0.070598,0.006274,0.006448,0.006524,372402357512.84546,388758009052.6337,374815895300.2228,45.41,True,19260817.0,MSE
6.0,3.0,False,1.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.078874,-0.061282,-0.05868,0.00633,0.006418,0.006487,513479963828.684,536031645340.97784,516807824865.9429,57.8,True,19260817.0,MSE
6.0,3.0,False,2.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.432616,-0.379709,-0.367847,0.007294,0.007318,0.007374,1148777912883.7854,1199231598903.3284,1156223456560.6343,56.18,True,19260817.0,MSE
6.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.00585,-0.010398,-0.010634,0.006112,0.006262,0.006339,88848458351.373,92750620610.31923,89424284758.62483,48.92,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.000262,-0.000128,-0.000184,0.006095,0.00623,0.006306,67348100834.44732,70305982402.28154,67784583533.83714,66.24,True,19260817.0,MSE
25.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.006063,-0.010675,-0.010911,0.006112,0.006263,0.006339,91179065870.42822,95183586784.43858,91769996933.17245,71.25,True,19260817.0,MSE
50.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.000728,-0.002867,-0.003055,0.006096,0.006239,0.006315,5397155684.855823,5634194994.329763,5432134623.427318,104.1,True,19260817.0,MSE
100.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.006008,-0.010603,-0.010839,0.006112,0.006263,0.006339,90579596584.42157,94557789225.9252,91166642489.76826,213.83,True,19260817.0,MSE
200.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.006021,-0.010621,-0.010857,0.006112,0.006263,0.006339,90725825099.01956,94710439994.79118,91313818710.62659,437.46,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,12.0,relu,100.0,0.1,False,Dense,False,-0.005916,-0.010484,-0.01072,0.006112,0.006263,0.006339,89573852897.5284,93507873978.48915,90154380583.14912,63.79,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,25.0,relu,100.0,0.1,False,Dense,False,-0.005862,-0.010414,-0.01065,0.006112,0.006262,0.006339,88985090720.3312,92893253777.52873,89561802641.27225,72.44,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,50.0,relu,100.0,0.1,False,Dense,False,-0.00602,-0.010619,-0.010855,0.006112,0.006263,0.006339,90708693724.9244,94692556222.70647,91296576308.18292,59.91,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,100.0,relu,100.0,0.1,False,Dense,False,-0.005806,-0.01034,-0.010576,0.006112,0.006262,0.006338,88359215932.89972,92239891006.40356,88931871562.52255,59.02,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,200.0,relu,100.0,0.1,False,Dense,False,-0.002724,-0.006116,-0.006343,0.006102,0.006249,0.006325,47899579585.63391,50003295678.68596,48210016517.609795,91.05,True,19260817.0,MSE
12.0,3.0,True,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.0,-0.000738,-0.000853,0.006094,0.006232,0.006308,40068786624.336685,41828579757.8042,40328472226.90253,111.13,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,sigmoid,100.0,0.1,False,Dense,False,-0.000591,-0.002594,-0.002776,0.006096,0.006238,0.006314,893189602.037054,932416833.387802,898985910.465763,62.04,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,softmax,100.0,0.1,False,Dense,False,-0.000293,-0.001927,-0.002092,0.006095,0.006236,0.006312,11224922241.38989,11717912899.795103,11297670967.857943,56.31,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,tanh,100.0,0.1,False,Dense,False,-0.003258,-0.006877,-0.007114,0.006104,0.006251,0.006327,56199756463.8234,58642438940.05349,56579914029.33241,56.15,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Residual,False,-0.061344,-0.046272,-0.044177,0.006278,0.006373,0.006443,457572368505.6812,477668627464.6932,460537892701.6422,58.98,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.0,False,Dense,False,-0.2014,-0.169592,-0.163653,0.006679,0.006738,0.006801,796683963044.4274,831613092034.9015,801810240220.0365,54.24,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.2,False,Dense,False,-0.005571,-0.010033,-0.010269,0.006111,0.006261,0.006337,85739999503.45389,89505640420.04874,86295680004.70197,54.24,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.3,False,Dense,False,-2.4e-05,-0.001018,-0.001149,0.006094,0.006233,0.006309,31883483705.52236,33283784049.57033,32090120401.450813,46.69,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.4,False,Dense,False,-5e-06,-0.000856,-0.000978,0.006094,0.006233,0.006308,36455274258.92416,38056364452.16719,36691540706.20559,69.55,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.5,False,Dense,False,-1.7e-05,-0.000973,-0.001101,0.006094,0.006233,0.006309,33120227227.135277,34574844483.18894,33334879251.54493,66.01,True,19260817.0,MSE
12.0,3.0,False,3.0,32.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.465823,-0.410164,-0.397469,0.007378,0.007398,0.007454,1190547032469.858,1242835026925.3333,1198262961739.7295,152.29,True,19260817.0,MSE
12.0,3.0,False,3.0,64.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.002068,-0.005132,-0.005351,0.0061,0.006246,0.006322,36585079839.729355,38191871003.44578,36822187556.32536,86.02,True,19260817.0,MSE
12.0,3.0,False,3.0,256.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.022384,-0.030102,-0.030206,0.006162,0.006323,0.0064,212118935148.3707,221435050683.8393,213493676889.58148,42.33,True,19260817.0,MSE
12.0,3.0,False,3.0,512.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.003697,-0.007505,-0.007738,0.006105,0.006253,0.006329,62418491585.397896,65159868156.73371,62823025512.293465,32.36,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,200.0,0.1,False,Dense,False,-0.01116,-0.005803,-0.005315,0.006128,0.006248,0.006322,218151915985.43497,227732995827.2075,219565757444.78455,135.21,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,500.0,0.1,False,Dense,False,-0.005528,-0.002077,-0.00182,0.006111,0.006237,0.006311,165407152302.044,172671718947.9312,166479155215.88733,356.63,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,1000.0,0.1,False,Dense,False,-0.001467,-0.004176,-0.004384,0.006098,0.006243,0.006319,24483680050.44883,25558986184.31897,24642358656.48118,664.72,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,True,Dense,False,-0.012466,-0.018596,-0.018799,0.006132,0.006288,0.006364,148125975289.10004,154631564705.85135,149085978982.51935,77.66,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,True,-0.000262,-0.000128,-0.000184,0.006095,0.00623,0.006306,67348100834.44732,70305982402.28154,67784583533.83714,76.66,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.001,6.0,relu,100.0,0.1,False,Dense,False,-0.00032,-0.001994,-0.002161,0.006095,0.006236,0.006312,9928021736.274986,10364053519.390623,9992365194.7093,66.35,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,0.1,6.0,relu,100.0,0.1,False,Dense,False,-0.119482,-0.133417,-0.131972,0.006448,0.006633,0.006708,542584300710.2919,566414224378.4735,546100786807.0716,77.22,True,19260817.0,MSE
12.0,3.0,False,3.0,128.0,1.0,6.0,relu,100.0,0.1,False,Dense,False,-57.145556,-55.077433,-53.808644,0.046468,0.046654,0.046678,12702473370535.508,13260357132415.486,12784798035925.943,63.05,True,19260817.0,MSE
12.0,1.0,False,3.0,128.0,0.01,6.0,relu,100.0,0.1,False,Dense,False,-0.099133,-0.078858,-0.075685,0.006389,0.006471,0.006539,570805985403.8424,595875385760.1011,574505376095.733,50.61,True,19260817.0,MSE
