weekly_seasonality,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,monthly_seasonality,quarterly_seasonality,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.0,additive,0.05,10.0,0.0,0.0,0.71742,-0.79429,,-inf,1.195117,,1.41278,2.724871,,30.06
0.0,multiplicative,0.05,10.0,0.0,0.0,0.71742,-0.79429,,-inf,1.195117,,1.41278,2.724871,,28.51
0.0,additive,0.05,10.0,0.0,1.0,0.891376,-1.539643,,-inf,1.421839,,0.976486,3.105002,,29.6
0.0,additive,0.05,10.0,1.0,0.0,0.744838,-0.892464,,-inf,1.227377,,1.326965,3.003719,,29.23
1.0,additive,0.05,10.0,0.0,0.0,0.731078,-0.862415,,-inf,1.217593,,1.410432,2.946418,,29.1
0.0,additive,0.001,10.0,0.0,0.0,0.56638,-0.263191,,-inf,1.002763,,1.800495,2.293941,,43.26
0.0,additive,0.01,10.0,0.0,0.0,0.512882,-0.272001,,-inf,1.006254,,1.785887,2.312227,,31.5
0.0,additive,0.1,10.0,0.0,0.0,0.819272,-0.920788,,-inf,1.236527,,1.247769,2.688126,,28.92
0.0,additive,0.5,10.0,0.0,0.0,0.945202,-0.368302,,-inf,1.04365,,0.749397,1.89251,,30.0
0.0,additive,0.001,0.01,0.0,0.0,0.56638,-0.263191,,-inf,1.002763,,1.800495,2.293941,,42.89
0.0,additive,0.001,0.1,0.0,0.0,0.56638,-0.263191,,-inf,1.002763,,1.800495,2.293941,,42.83
0.0,additive,0.001,1.0,0.0,0.0,0.56638,-0.263191,,-inf,1.002763,,1.800495,2.293941,,42.9
0.0,multiplicative,0.001,10.0,0.0,0.0,0.56638,-0.263191,,-inf,1.002763,,1.800495,2.293941,,42.97
0.0,additive,0.001,10.0,0.0,1.0,0.714095,-1.097098,,-inf,1.292032,,1.522753,2.723591,,62.01
0.0,additive,0.001,10.0,1.0,0.0,0.580908,-0.309677,,-inf,1.021048,,1.698269,2.314277,,54.69
1.0,additive,0.001,10.0,0.0,0.0,0.56721,-0.26831,,-inf,1.004793,,1.804128,2.294204,,46.04
