weekly_seasonality,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,monthly_seasonality,quarterly_seasonality,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.0,additive,0.05,10.0,0.0,0.0,0.010997,-0.029404,,-inf,0.0064,,86721228668.86533,183895568053.46603,,29.73
0.0,multiplicative,0.05,10.0,0.0,0.0,0.010997,-0.029404,,-inf,0.0064,,86721228668.86533,183895568053.46603,,29.13
0.0,additive,0.05,10.0,0.0,1.0,0.103425,-0.157942,,-inf,0.006788,,160046006431.47604,319841052752.7311,,30.62
0.0,additive,0.05,10.0,1.0,0.0,0.061739,-0.094615,,-inf,0.0066,,126915516333.61586,234665066086.59177,,30.92
1.0,additive,0.05,10.0,0.0,0.0,0.051368,-0.052675,,-inf,0.006472,,118776785510.49922,196475479241.7237,,29.5
0.0,additive,0.001,10.0,0.0,0.0,0.012402,-0.031064,,-inf,0.006405,,84280626931.50539,190057464886.78943,,40.82
0.0,additive,0.01,10.0,0.0,0.0,-0.074983,-0.342952,,-inf,0.00731,,133032747070.88963,273766362296.70703,,31.64
0.0,additive,0.1,10.0,0.0,0.0,0.012794,-0.02558,,-inf,0.006388,,82488940838.01814,175077904264.95288,,28.97
0.0,additive,0.5,10.0,0.0,0.0,0.027369,-0.077255,,-inf,0.006547,,92033093922.0198,161789775721.0581,,28.96
0.0,additive,0.1,0.01,0.0,0.0,0.012794,-0.02558,,-inf,0.006388,,82488940838.01814,175077904264.95288,,29.25
0.0,additive,0.1,0.1,0.0,0.0,0.012794,-0.02558,,-inf,0.006388,,82488940838.01814,175077904264.95288,,30.19
0.0,additive,0.1,1.0,0.0,0.0,0.012794,-0.02558,,-inf,0.006388,,82488940838.01814,175077904264.95288,,31.25
0.0,multiplicative,0.1,10.0,0.0,0.0,0.012794,-0.02558,,-inf,0.006388,,82488940838.01814,175077904264.95288,,41.02
0.0,additive,0.1,10.0,0.0,1.0,0.105108,-0.156999,,-inf,0.006785,,161154902000.63068,316194625114.85565,,38.46
0.0,additive,0.1,10.0,1.0,0.0,0.063531,-0.096273,,-inf,0.006605,,127382899274.52226,216744923387.25674,,37.85
1.0,additive,0.1,10.0,0.0,0.0,0.053018,-0.057231,,-inf,0.006486,,119295450503.35553,188612382992.2357,,37.49
