weekly_seasonality,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,monthly_seasonality,quarterly_seasonality,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.0,additive,0.05,10.0,0.0,0.0,0.048702,-0.275257,,-inf,0.007124,,0.00407,0.00487,,42.29
0.0,multiplicative,0.05,10.0,0.0,0.0,0.048702,-0.275257,,-inf,0.007124,,0.00407,0.00487,,39.02
0.0,additive,0.05,10.0,0.0,1.0,0.122476,-0.340131,,-inf,0.007302,,0.003925,0.00522,,39.05
0.0,additive,0.05,10.0,1.0,0.0,0.099323,-0.362128,,-inf,0.007362,,0.003959,0.005086,,36.86
1.0,additive,0.05,10.0,0.0,0.0,0.089838,-0.31545,,-inf,0.007235,,0.003981,0.004961,,31.48
0.0,additive,0.001,10.0,0.0,0.0,0.009166,-0.023888,,-inf,0.006383,,0.004169,0.004397,,28.86
0.0,additive,0.01,10.0,0.0,0.0,0.027483,-0.069539,,-inf,0.006524,,0.004124,0.004495,,29.23
0.0,additive,0.1,10.0,0.0,0.0,0.061342,-0.339051,,-inf,0.0073,,0.004039,0.005029,,30.38
0.0,additive,0.5,10.0,0.0,0.0,0.112487,-0.435258,,-inf,0.007557,,0.003937,0.005209,,31.63
0.0,additive,0.001,0.01,0.0,0.0,0.009166,-0.023888,,-inf,0.006383,,0.004169,0.004397,,28.9
0.0,additive,0.001,0.1,0.0,0.0,0.009166,-0.023888,,-inf,0.006383,,0.004169,0.004397,,28.89
0.0,additive,0.001,1.0,0.0,0.0,0.009166,-0.023888,,-inf,0.006383,,0.004169,0.004397,,28.88
0.0,multiplicative,0.001,10.0,0.0,0.0,0.009166,-0.023888,,-inf,0.006383,,0.004169,0.004397,,28.83
0.0,additive,0.001,10.0,0.0,1.0,0.100533,-0.157135,,-inf,0.006786,,0.003984,0.004685,,29.76
0.0,additive,0.001,10.0,1.0,0.0,0.060071,-0.109196,,-inf,0.006644,,0.004059,0.004577,,30.51
1.0,additive,0.001,10.0,0.0,0.0,0.050851,-0.050053,,-inf,0.006464,,0.004081,0.004452,,30.53
