short_term,long_term,price_range,amp_window,increase_holding,decrease_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold,slope_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,CV r2
3.0,30.0,3.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,-0.6405924888189638,-19.6164096232732,,,,,,,,-14.69977459978264
3.0,30.0,4.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,23.150457471515292,-3.0886453393518245,,,,,,,,2.390141960785667
3.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,43.019322134972505,8.73747400979735,,,,,,,,14.31114700806416
3.0,30.0,6.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,36.43336827899445,10.294527371170982,,,,,,,,17.1493000799932
3.0,30.0,7.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,34.41933452070133,7.935577449803954,,,,,,,,16.766365236415414
3.0,30.0,8.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,36.60306281403888,13.554572830667896,,,,,,,,19.50936528457806
3.0,30.0,9.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,36.30313759369281,11.128004670801632,,,,,,,,20.36976704521245
3.0,30.0,10.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,34.48187396976289,9.807176615863401,,,,,,,,20.348805945544672
2.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,43.563341141110755,2.5958951980479554,,,,,,,,13.132915379736849
4.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,42.12514558986875,7.72258161232002,,,,,,,,12.875651781259128
5.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,43.13789031956506,6.947774206189948,,,,,,,,13.229054368664872
6.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,39.31789616696858,3.9789148733576027,,,,,,,,11.41213138084576
7.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,38.83307713655257,4.26869625502675,,,,,,,,11.610648822764382
8.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,40.87561454536737,5.668264762361957,,,,,,,,12.044126771153879
9.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,41.241163722280994,5.258767437379461,,,,,,,,12.341692090690085
10.0,30.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,39.363968266346966,8.241464407689385,,,,,,,,11.91349445542925
2.0,15.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,43.8354998434567,8.29116377089295,,,,,,,,14.444492931270593
2.0,20.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,42.230428168952756,4.212374188639878,,,,,,,,14.132751715951368
2.0,25.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,40.48272132347965,6.141564332639248,,,,,,,,13.71233672666401
2.0,40.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,41.00307918164322,4.067261027789538,,,,,,,,13.32478010497807
2.0,50.0,5.0,100.0,500.0,500.0,10.0,1.5,0.02,0.4,,40.56328325807789,3.888108554127264,,,,,,,,13.741995547306175
2.0,15.0,5.0,75.0,500.0,500.0,10.0,1.5,0.02,0.4,,43.976911179560915,11.318518638392636,,,,,,,,17.53454491544861
2.0,15.0,5.0,125.0,500.0,500.0,10.0,1.5,0.02,0.4,,42.70658758726252,6.119102467387659,,,,,,,,14.45367428056953
2.0,15.0,5.0,150.0,500.0,500.0,10.0,1.5,0.02,0.4,,35.898888898897226,-2.3780217634595147,,,,,,,,10.825654205370626
2.0,15.0,5.0,175.0,500.0,500.0,10.0,1.5,0.02,0.4,,30.238827398904316,-3.0294907135609304,,,,,,,,9.502691025570376
2.0,15.0,5.0,200.0,500.0,500.0,10.0,1.5,0.02,0.4,,26.08432098561278,-5.487597170064726,,,,,,,,7.352804105756936
2.0,15.0,5.0,75.0,500.0,500.0,5.0,1.5,0.02,0.4,,17.721896985737192,-5.608692359243329,,,,,,,,4.074843363526012
2.0,15.0,5.0,75.0,500.0,500.0,7.5,1.5,0.02,0.4,,38.38549367020583,2.9714669482262757,,,,,,,,14.12752495537552
2.0,15.0,5.0,75.0,500.0,500.0,12.5,1.5,0.02,0.4,,44.041787339944406,7.829954894187264,,,,,,,,15.833871539475613
2.0,15.0,5.0,75.0,500.0,500.0,15.0,1.5,0.02,0.4,,40.65866075884738,10.095053771628443,,,,,,,,14.547386028402357
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.02,0.4,,44.206996870196534,7.673900069073671,,,,,,,,16.059777997610308
2.0,15.0,5.0,75.0,500.0,500.0,12.5,1.0,0.02,0.4,,44.206996870196534,7.673900069073671,,,,,,,,16.059777997610308
2.0,15.0,5.0,75.0,500.0,500.0,12.5,2.0,0.02,0.4,,39.39818303312442,7.639923312125447,,,,,,,,12.47704476424963
2.0,15.0,5.0,75.0,500.0,500.0,12.5,2.5,0.02,0.4,,39.988038898879566,10.06263219632363,,,,,,,,13.833845516942
2.0,15.0,5.0,75.0,500.0,500.0,12.5,3.0,0.02,0.4,,38.49215013634459,12.33251229437602,,,,,,,,12.950336661514863
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.005,0.4,,34.21613058301049,14.935169837678112,,,,,,,,20.108630618279093
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.01,0.4,,41.550460815681035,11.062234464933281,,,,,,,,18.764236984325624
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.04,0.4,,36.96758057809525,1.4632247525966449,,,,,,,,10.676535034924486
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.02,0.05,,27.14829368837261,7.277179586861774,,,,,,,,11.687684389070043
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.02,0.1,,31.359311127145048,14.778644791449011,,,,,,,,11.871192429575766
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.02,0.2,,39.66864743203794,16.63555361389204,,,,,,,,14.952633523278674
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.02,0.8,,43.9167286045546,10.468050713623732,,,,,,,,18.334879169071577
2.0,15.0,5.0,75.0,500.0,500.0,12.5,0.5,0.02,1.6,,43.081942927249926,10.468050713623732,,,,,,,,18.101656033469247
2.0,15.0,5.0,75.0,250.0,500.0,12.5,0.5,0.02,0.4,,36.34065979726208,12.28676989664853,,,,,,,,18.000375726899353
2.0,15.0,5.0,75.0,1000.0,500.0,12.5,0.5,0.02,0.4,,45.35480654916768,2.2201658213758506,,,,,,,,9.847786551003372
2.0,15.0,5.0,75.0,2000.0,500.0,12.5,0.5,0.02,0.4,,33.11952824712582,-1.9448664158497628,,,,,,,,-0.8915716947995769
2.0,15.0,5.0,75.0,4000.0,500.0,12.5,0.5,0.02,0.4,,29.36639407999359,-1.6521352133444864,,,,,,,,-5.2319315460838665
2.0,15.0,5.0,75.0,1000.0,250.0,12.5,0.5,0.02,0.4,,45.35480654916768,2.2201658213758506,,,,,,,,9.847786551003372
2.0,15.0,5.0,75.0,1000.0,1000.0,12.5,0.5,0.02,0.4,,45.35480654916768,2.2201658213758506,,,,,,,,9.847786551003372
2.0,15.0,5.0,75.0,1000.0,2000.0,12.5,0.5,0.02,0.4,,45.35480654916768,2.2201658213758506,,,,,,,,9.847786551003372
2.0,15.0,5.0,75.0,1000.0,4000.0,12.5,0.5,0.02,0.4,,45.35480654916768,2.2201658213758506,,,,,,,,9.847786551003372
2.0,15.0,3.0,75.0,1000.0,500.0,12.5,0.5,0.02,0.4,,21.040441223408926,-13.011873877639594,,,,,,,,-0.06081761528392136
2.0,15.0,4.0,75.0,1000.0,500.0,12.5,0.5,0.02,0.4,,28.383287490565476,-11.249775994994302,,,,,,,,3.055231168924096
2.0,15.0,6.0,75.0,1000.0,500.0,12.5,0.5,0.02,0.4,,25.496018074453737,-8.517031694633168,,,,,,,,6.031608851658489
2.0,15.0,7.0,75.0,1000.0,500.0,12.5,0.5,0.02,0.4,,24.995060487900968,-14.622531522100005,,,,,,,,3.374267595972539
