short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500,cv_score
2.0,15.0,3.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,27.50616690935798,,,,,,,,,-8.24204481821037,27.50616690935798,2.058633579612261
2.0,15.0,4.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,25.664960711729936,,,,,,,,,-3.061952173313646,25.664960711729936,11.683232531700789
2.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,44.32518321704107,,,,,,,,,0.7110292020951476,44.32518321704107,10.506143111494756
2.0,15.0,6.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,29.409277866033015,,,,,,,,,-5.166151075054319,29.409277866033015,11.140038221124396
2.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,27.950870454388507,,,,,,,,,-2.2608021061594066,27.950870454388507,12.425374316408197
3.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,43.683975365377435,,,,,,,,,-0.7501094119878324,43.683975365377435,8.73219077768675
4.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,41.85298246877541,,,,,,,,,0.7333751466726319,41.85298246877541,9.539478518749418
5.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,39.20710128105101,,,,,,,,,0.3577029321562648,39.20710128105101,8.259608418872864
6.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,39.50318890314253,,,,,,,,,-0.33107753849846944,39.50318890314253,7.78301596606142
2.0,20.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,41.298675313317176,,,,,,,,,-1.8984336236088808,41.298675313317176,8.155826899340557
2.0,25.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,36.24024355690767,,,,,,,,,-5.461282689192611,36.24024355690767,4.785378024711216
2.0,30.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,36.92874685588926,,,,,,,,,-7.886408267073136,36.92874685588926,2.9213472682086925
2.0,15.0,5.0,100.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,43.77319551866056,,,,,,,,,2.4918092574273416,43.77319551866056,9.726855030476813
